City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
kirakira,-10.45,161.92,85.1,62.0,63.0,7.85,SB,1603247374.0
flinders,-34.58,150.86,75.0,65.0,51.0,7.0,AU,1603247374.0
abbeville,50.1,1.83,55.99,68.0,100.0,15.03,FR,1603247286.0
amderma,,,,,,,,
esperance,-33.87,121.9,60.8,93.0,90.0,13.87,AU,1603247375.0
ribeira grande,38.52,-28.7,63.55,68.0,78.0,25.43,PT,1603247375.0
butaritari,3.07,172.79,82.38,73.0,46.0,10.36,KI,1603247375.0
chokurdakh,70.63,147.92,9.68,96.0,70.0,4.83,RU,1603247375.0
xuanzhou,30.95,118.76,59.54,94.0,100.0,5.91,CN,1603247376.0
thompson,55.74,-97.86,24.8,85.0,90.0,2.24,CA,1603247376.0
great falls,47.5,-111.3,30.2,86.0,90.0,3.4,US,1603247376.0
dalinghe,,,,,,,,
takoradi,4.88,-1.76,76.05,91.0,100.0,8.08,GH,1603247377.0
bathsheba,13.22,-59.52,82.4,78.0,40.0,8.05,BB,1603247377.0
constitucion,-35.33,-72.42,51.31,78.0,24.0,14.25,CL,1603247377.0
teya,60.38,92.63,29.84,96.0,100.0,5.28,RU,1603247377.0
saint george,37.1,-113.58,75.2,11.0,1.0,4.7,US,1603247141.0
drumheller,51.46,-112.71,24.01,48.0,65.0,4.09,CA,1603247378.0
taolanaro,,,,,,,,
odessa,46.48,30.73,48.2,70.0,0.0,4.5,UA,1603247114.0
avarua,-21.21,-159.78,75.2,88.0,100.0,8.05,CK,1603247211.0
fazalpur,32.18,75.07,62.6,88.0,0.0,4.41,PK,1603247379.0
suleja,9.18,7.18,71.6,94.0,19.0,3.36,NG,1603247379.0
norman wells,65.28,-126.83,23.0,85.0,90.0,16.11,CA,1603247379.0
komsomolskiy,40.43,71.72,51.8,36.0,0.0,9.17,UZ,1603247379.0
grand gaube,-20.01,57.66,75.0,71.0,0.0,5.01,MU,1603247379.0
nhulunbuy,-12.23,136.77,89.6,59.0,40.0,13.87,AU,1603247380.0
abu kamal,34.45,40.92,69.51,37.0,0.0,7.45,SY,1603247380.0
torbay,47.67,-52.73,59.0,93.0,75.0,19.46,CA,1603247380.0
dharchula,29.85,80.53,62.91,33.0,0.0,3.24,IN,1603247380.0
husavik,66.04,-17.34,23.0,92.0,63.0,3.36,IS,1603247381.0
hualmay,-11.1,-77.61,63.36,80.0,47.0,8.3,PE,1603247381.0
fallon,39.47,-118.78,62.6,23.0,20.0,6.93,US,1603247381.0
znamenskoye,57.13,73.83,42.96,80.0,100.0,5.84,RU,1603247381.0
agadir,30.42,-9.6,69.8,73.0,20.0,2.13,MA,1603247382.0
beringovskiy,63.05,179.32,41.52,85.0,55.0,11.65,RU,1603247382.0
mayya,61.73,130.28,21.2,92.0,75.0,6.71,RU,1603247382.0
yumen,40.28,97.2,54.63,32.0,0.0,9.13,CN,1603247382.0
kharan,28.58,65.42,56.66,29.0,0.0,6.02,PK,1603247382.0
qianguo,45.12,124.86,54.21,40.0,87.0,20.6,CN,1603247383.0
rocha,-34.48,-54.33,54.72,66.0,100.0,11.77,UY,1603247383.0
puerto maldonado,-12.6,-69.18,72.79,92.0,12.0,0.96,PE,1603247383.0
general roca,-39.03,-67.58,68.0,30.0,11.0,16.11,AR,1603247383.0
san quintin,30.48,-115.95,66.63,89.0,1.0,12.06,MX,1603247384.0
piacabucu,-10.41,-36.43,74.75,82.0,0.0,8.39,BR,1603247384.0
maiduguri,11.85,13.16,76.73,28.0,0.0,0.81,NG,1603247315.0
oranjemund,-28.55,16.43,57.22,68.0,0.0,13.24,NA,1603247384.0
cravo norte,6.3,-70.2,80.78,75.0,12.0,3.33,CO,1603247385.0
padang,-0.95,100.35,85.33,60.0,91.0,3.2,ID,1603247385.0
rawson,-43.3,-65.1,50.92,59.0,0.0,17.74,AR,1603247313.0
cristalina,-16.77,-47.61,61.14,100.0,91.0,3.85,BR,1603247385.0
bengkulu,-3.8,102.27,84.15,64.0,35.0,1.97,ID,1603247385.0
sayaxche,16.52,-90.17,73.0,94.0,31.0,3.15,GT,1603247386.0
upernavik,72.79,-56.15,32.74,92.0,100.0,2.86,GL,1603247386.0
filadelfia,39.95,-75.16,64.99,93.0,40.0,3.36,US,1603247221.0
barrow,71.29,-156.79,28.4,86.0,90.0,12.75,US,1603247386.0
lompoc,34.64,-120.46,57.2,93.0,90.0,8.05,US,1603247387.0
yulara,-25.24,130.99,93.2,17.0,0.0,3.36,AU,1603247387.0
charcas,23.13,-101.12,63.81,59.0,2.0,9.22,MX,1603247387.0
barentsburg,,,,,,,,
hilo,19.73,-155.09,82.4,58.0,90.0,8.05,US,1603247387.0
ruteng,-8.61,120.47,77.76,59.0,12.0,0.16,ID,1603247388.0
saint-pierre,-21.34,55.48,70.0,60.0,1.0,3.36,RE,1603247388.0
balakhninskiy,58.01,114.28,22.86,93.0,100.0,6.6,RU,1603247388.0
lebu,-37.62,-73.65,49.06,78.0,0.0,17.52,CL,1603247388.0
omsukchan,62.53,155.8,17.91,91.0,68.0,1.97,RU,1603247389.0
shuangyang,43.52,125.67,48.2,81.0,75.0,11.18,CN,1603247389.0
puerto ayora,-0.74,-90.35,69.01,92.0,94.0,8.01,EC,1603247389.0
cockburn town,21.46,-71.14,81.73,79.0,89.0,14.92,TC,1603247211.0
hofn,64.25,-15.21,35.89,74.0,38.0,6.85,IS,1603247390.0
yeppoon,-23.13,150.73,84.2,48.0,75.0,9.17,AU,1603247390.0
teguise,29.06,-13.56,73.4,73.0,99.0,1.12,ES,1603247390.0
te anau,-45.42,167.72,54.68,49.0,8.0,6.53,NZ,1603247390.0
fortuna,40.6,-124.16,57.99,82.0,1.0,11.41,US,1603247390.0
kant,27.8,79.8,72.34,50.0,0.0,3.22,IN,1603247391.0
beni,0.5,29.47,60.73,99.0,98.0,1.68,CD,1603247391.0
pitimbu,-7.47,-34.81,75.2,94.0,75.0,11.41,BR,1603247391.0
mahebourg,-20.41,57.7,73.4,83.0,40.0,10.29,MU,1603247391.0
lata,40.16,-8.33,60.01,94.0,17.0,1.01,PT,1603247392.0
palabuhanratu,,,,,,,,
talnakh,69.49,88.4,8.6,84.0,63.0,2.24,RU,1603247392.0
conde,-7.26,-34.91,75.2,94.0,75.0,11.41,BR,1603247392.0
aklavik,68.22,-135.01,23.0,92.0,90.0,8.05,CA,1603247393.0
tabuk,17.42,121.44,80.47,83.0,95.0,9.35,PH,1603247393.0
ozinki,51.18,49.68,37.98,74.0,0.0,10.69,RU,1603247393.0
chernyshevskiy,63.01,112.47,16.52,95.0,99.0,6.51,RU,1603247393.0
chicama,-7.84,-79.15,63.59,80.0,13.0,5.64,PE,1603247393.0
sao filipe,14.9,-24.5,82.67,68.0,55.0,3.33,CV,1603247394.0
pangnirtung,66.15,-65.71,24.57,94.0,100.0,3.53,CA,1603247394.0
pevek,69.7,170.31,31.03,95.0,84.0,16.37,RU,1603247394.0
charleston,32.78,-79.93,73.99,94.0,100.0,4.7,US,1603247228.0
carnarvon,-24.87,113.63,73.4,56.0,40.0,19.46,AU,1603247395.0
myitkyina,25.38,97.4,74.98,89.0,77.0,2.39,MM,1603247395.0
mar del plata,-38.0,-57.56,52.0,87.0,0.0,5.82,AR,1603247171.0
pacific grove,36.62,-121.92,62.01,87.0,1.0,3.36,US,1603247395.0
hasaki,35.73,140.83,70.0,49.0,40.0,12.75,JP,1603247395.0
pelaya,8.69,-73.66,75.97,88.0,65.0,2.37,CO,1603247396.0
roald,62.58,6.13,42.8,93.0,100.0,13.87,NO,1603247396.0
pirovskoye,57.63,92.27,34.63,96.0,100.0,5.19,RU,1603247396.0
belushya guba,,,,,,,,
chapais,49.78,-74.85,32.0,99.0,90.0,2.24,CA,1603247397.0
bambanglipuro,-7.95,110.28,84.6,71.0,10.0,3.36,ID,1603247397.0
lethem,3.38,-59.8,83.16,57.0,91.0,5.68,GY,1603247397.0
provideniya,64.38,-173.3,44.6,87.0,90.0,6.71,RU,1603247397.0
genhe,50.78,121.52,33.19,93.0,100.0,6.87,CN,1603247228.0
ondjiva,-17.07,15.73,66.34,27.0,0.0,5.08,AO,1603247398.0
nabire,-3.37,135.48,77.54,89.0,100.0,1.39,ID,1603247398.0
laguna,38.42,-121.42,80.01,40.0,1.0,1.79,US,1603247398.0
mount gambier,-37.83,140.77,62.6,59.0,90.0,10.29,AU,1603247398.0
miyako,39.64,141.95,61.43,54.0,0.0,6.98,JP,1603247399.0
lavrentiya,65.58,-171.0,38.32,95.0,97.0,7.14,RU,1603247399.0
kerman,30.28,57.08,33.8,19.0,0.0,4.7,IR,1603247318.0
manitouwadge,49.12,-85.84,30.54,91.0,100.0,3.76,CA,1603247399.0
del rio,29.36,-100.9,84.2,48.0,1.0,9.17,US,1603247400.0
sainte-marie,-20.9,55.55,71.6,60.0,5.0,12.75,RE,1603247401.0
necochea,-38.55,-58.74,42.01,92.0,0.0,7.16,AR,1603247401.0
tooele,40.53,-112.3,61.0,42.0,1.0,6.93,US,1603247402.0
loreto,22.27,-101.97,63.07,56.0,0.0,13.78,MX,1603247403.0
hunza,,,,,,,,
mys shmidta,,,,,,,,
comodoro rivadavia,-45.87,-67.5,46.4,70.0,95.0,5.82,AR,1603247209.0
roccastrada,43.01,11.17,53.01,87.0,37.0,6.93,IT,1603247412.0
brigantine,39.41,-74.36,62.6,100.0,90.0,3.36,US,1603247413.0
bulgan,48.81,103.53,32.05,80.0,0.0,4.27,MN,1603247414.0
evensk,61.95,159.23,35.13,85.0,97.0,3.91,RU,1603247414.0
grootfontein,-19.57,18.12,64.42,26.0,13.0,9.6,NA,1603247415.0
fort nelson,58.81,-122.7,17.6,72.0,20.0,4.7,CA,1603247415.0
north battleford,52.78,-108.28,24.8,68.0,90.0,8.05,CA,1603247215.0
la ronge,55.1,-105.28,24.8,73.0,90.0,4.7,CA,1603247416.0
vila velha,-20.33,-40.29,69.8,94.0,75.0,5.82,BR,1603247354.0
matara,5.95,80.54,82.27,76.0,11.0,12.12,LK,1603247417.0
tasiilaq,65.61,-37.64,32.0,97.0,100.0,18.34,GL,1603247417.0
saleaula,,,,,,,,
khatanga,71.97,102.5,6.76,95.0,81.0,8.28,RU,1603247417.0
macklin,52.33,-109.93,22.64,86.0,5.0,2.39,CA,1603247418.0
lodwar,3.12,35.6,85.37,42.0,100.0,20.69,KE,1603247418.0
kovdor,67.57,30.48,29.5,96.0,100.0,2.28,RU,1603247418.0
tiksi,71.69,128.87,8.31,92.0,77.0,8.7,RU,1603247419.0
mrirt,,,,,,,,
ormara,25.21,64.64,78.58,23.0,0.0,11.63,PK,1603247419.0
vestmannaeyjar,63.44,-20.27,38.28,72.0,100.0,4.68,IS,1603247420.0
kloulklubed,7.04,134.26,82.4,83.0,90.0,4.7,PW,1603247420.0
kargasok,59.06,80.86,42.03,91.0,100.0,12.12,RU,1603247420.0
lokosovo,61.13,74.82,33.21,97.0,100.0,10.13,RU,1603247421.0
ostrovnoy,68.05,39.51,36.27,82.0,100.0,12.93,RU,1603247421.0
crab hill,,,,,,,,
samalaeulu,,,,,,,,
seinajoki,62.79,22.83,30.99,92.0,90.0,9.17,FI,1603247422.0
grand river south east,,,,,,,,
sistranda,63.73,8.83,37.4,69.0,75.0,8.05,NO,1603247422.0
hurghada,27.26,33.81,77.0,44.0,0.0,5.82,EG,1603247261.0
coihaique,-45.58,-72.07,42.8,75.0,0.0,3.36,CL,1603247423.0
burica,,,,,,,,
ramanuj ganj,23.8,83.7,78.03,65.0,0.0,0.76,IN,1603247424.0
kedrovyy,56.17,91.82,41.0,75.0,75.0,4.47,RU,1603247424.0
talaya,61.38,152.75,20.57,84.0,0.0,1.05,RU,1603247424.0
nizhneyansk,,,,,,,,
owensboro,37.77,-87.11,64.0,100.0,90.0,3.36,US,1603247425.0
flagstaff,35.2,-111.65,55.0,17.0,1.0,2.77,US,1603247426.0
mackay,-21.15,149.2,84.2,54.0,40.0,14.99,AU,1603247426.0
lorengau,-2.02,147.27,84.67,67.0,96.0,2.86,PG,1603247426.0
quatre cocos,-20.21,57.76,75.0,83.0,40.0,10.29,MU,1603247427.0
luderitz,-26.65,15.16,61.88,45.0,0.0,14.0,NA,1603247427.0
hambantota,6.12,81.12,78.8,100.0,40.0,8.05,LK,1603247427.0
sooke,48.37,-123.73,52.0,80.0,51.0,3.0,CA,1603247428.0
nanortalik,60.14,-45.24,35.13,91.0,100.0,18.1,GL,1603247428.0
omboue,-1.57,9.26,76.53,88.0,100.0,6.35,GA,1603247428.0
tynda,55.17,124.72,28.96,92.0,100.0,9.95,RU,1603247428.0
bandundu,-3.32,17.37,71.56,97.0,100.0,5.7,CD,1603247429.0
balkhash,46.84,74.98,39.2,27.0,0.0,13.42,KZ,1603247429.0
honiara,-9.43,159.95,87.8,70.0,20.0,9.17,SB,1603247429.0
mezhdurechensk,53.69,88.06,40.46,73.0,94.0,2.91,RU,1603247430.0
saint-joseph,-21.37,55.62,70.0,60.0,5.0,3.36,RE,1603247407.0
korla,41.76,86.15,54.84,36.0,0.0,6.2,CN,1603247430.0
kununurra,-15.77,128.73,96.8,41.0,10.0,8.05,AU,1603247430.0
mahon,39.89,4.27,68.0,88.0,95.0,16.11,ES,1603247431.0
stabat,3.76,98.45,80.6,88.0,40.0,3.36,ID,1603247431.0
touros,-5.2,-35.46,73.4,88.0,40.0,3.36,BR,1603247431.0
ginir,7.13,40.7,57.69,72.0,78.0,3.18,ET,1603247432.0
severo-kurilsk,50.68,156.12,42.48,65.0,62.0,30.38,RU,1603247432.0
siauliai,55.93,23.32,42.8,93.0,100.0,11.41,LT,1603247206.0
burnie,-41.07,145.92,59.0,63.0,75.0,11.01,AU,1603247433.0
juegang,32.32,121.19,60.94,79.0,100.0,3.94,CN,1603247433.0
madinat sittah uktubar,29.82,31.05,73.4,94.0,40.0,10.29,EG,1603247433.0
jumla,29.27,82.18,61.23,30.0,0.0,0.78,NP,1603247433.0
port augusta,-32.5,137.77,82.0,43.0,0.0,6.93,AU,1603247434.0
hithadhoo,-0.6,73.08,82.15,80.0,46.0,13.4,MV,1603247434.0
kjollefjord,70.95,27.35,34.99,85.0,82.0,2.3,NO,1603247434.0
solsvik,,,,,,,,
west lafayette,40.43,-86.91,55.4,93.0,90.0,4.7,US,1603247435.0
awjilah,29.11,21.29,62.87,72.0,0.0,10.67,LY,1603247435.0
mehamn,71.04,27.85,35.74,83.0,92.0,2.04,NO,1603247156.0
kamenskoye,,,,,,,,
jizan,17.33,42.67,80.6,74.0,0.0,4.7,SA,1603247436.0
ahuimanu,21.44,-157.84,82.4,100.0,90.0,9.17,US,1603247436.0
chkalovsk,56.76,43.24,33.8,91.0,75.0,8.95,RU,1603247436.0
vysokogornyy,50.12,139.15,47.28,52.0,100.0,4.07,RU,1603247437.0
arraial do cabo,-22.97,-42.03,72.21,86.0,0.0,19.66,BR,1603247437.0
consett,54.85,-1.83,55.0,92.0,83.0,9.78,GB,1603247437.0
kysyl-syr,63.9,122.76,22.66,95.0,94.0,3.09,RU,1603247437.0
kaeo,-35.1,173.78,63.54,69.0,97.0,7.27,NZ,1603247438.0
kavaratti,10.57,72.64,82.04,70.0,84.0,8.14,IN,1603247438.0
gizo,-8.1,156.84,83.34,74.0,94.0,13.8,SB,1603247438.0
namibe,-15.2,12.15,68.29,84.0,100.0,8.28,AO,1603247438.0
nuuk,64.18,-51.72,32.0,88.0,100.0,10.29,GL,1603247439.0
akyab,20.15,92.9,82.2,80.0,67.0,10.98,MM,1603247439.0
dhidhdhoo,6.88,73.1,82.13,77.0,53.0,11.99,MV,1603247439.0
lundamo,63.13,10.3,37.0,93.0,100.0,0.78,NO,1603247440.0
tuktoyaktuk,69.45,-133.04,23.0,92.0,90.0,17.22,CA,1603247440.0
porbandar,21.64,69.61,84.25,73.0,0.0,5.68,IN,1603247440.0
broken hill,-31.95,141.43,77.0,20.0,0.0,8.05,AU,1603247441.0
buraydah,26.33,43.98,60.8,38.0,0.0,3.36,SA,1603247441.0
saldanha,-33.01,17.94,42.8,81.0,0.0,4.7,ZA,1603247441.0
pathein,16.78,94.73,77.88,92.0,100.0,14.7,MM,1603247441.0
port blair,11.67,92.75,83.46,78.0,48.0,15.23,IN,1603247442.0
bargal,,,,,,,,
marcona,,,,,,,,
faanui,-16.48,-151.75,79.07,80.0,11.0,13.96,PF,1603247442.0
tabiauea,,,,,,,,
semnan,35.57,53.4,53.17,39.0,0.0,1.5,IR,1603247417.0
mayo,38.89,-76.51,62.01,94.0,1.0,3.6,US,1603247443.0
nyagan,62.14,65.39,28.53,98.0,39.0,6.62,RU,1603247432.0
puerto madryn,-42.77,-65.04,52.68,52.0,1.0,19.15,AR,1603247399.0
san patricio,28.02,-97.52,79.0,83.0,20.0,10.29,US,1603247444.0
huntington,38.42,-82.45,62.6,93.0,1.0,4.03,US,1603247444.0
sasovo,54.35,41.92,34.45,85.0,80.0,11.36,RU,1603247444.0
namatanai,-3.67,152.43,82.71,73.0,65.0,3.22,PG,1603247444.0
bonfim,3.08,-59.95,81.48,61.0,80.0,3.04,BR,1603247445.0
port lincoln,-34.73,135.87,63.7,65.0,85.0,9.44,AU,1603247445.0
manga,11.66,-1.07,79.5,51.0,1.0,6.11,BF,1603247445.0
kharp,66.8,65.81,20.07,96.0,100.0,4.74,RU,1603247445.0
krasnoselkup,65.7,82.47,26.38,98.0,100.0,10.63,RU,1603247446.0
katsuura,35.13,140.3,68.0,59.0,20.0,10.29,JP,1603247446.0
kommunar,59.62,30.39,30.99,92.0,90.0,3.65,RU,1603247232.0
yerbogachen,61.28,108.01,22.44,93.0,100.0,9.91,RU,1603247447.0
pyapon,16.28,95.68,75.54,97.0,100.0,7.76,MM,1603247447.0
sembe,1.65,14.58,70.3,93.0,75.0,2.68,CG,1603247447.0
paamiut,61.99,-49.67,34.09,90.0,97.0,3.65,GL,1603247447.0
ilebo,-4.32,20.58,71.6,95.0,100.0,1.14,CD,1603247170.0
illoqqortoormiut,,,,,,,,
lubango,-14.92,13.49,60.37,60.0,9.0,1.95,AO,1603247448.0
ozgon,,,,,,,,
grindavik,63.84,-22.43,35.6,93.0,75.0,4.7,IS,1603247449.0
tongliao,43.61,122.27,53.44,40.0,1.0,17.49,CN,1603247449.0
aykhal,66.0,111.5,3.2,91.0,90.0,2.24,RU,1603247449.0
ocampo,21.65,-101.5,57.09,70.0,2.0,11.54,MX,1603247449.0
sinnamary,5.38,-52.95,79.7,81.0,100.0,12.06,GF,1603247450.0
san cristobal,7.77,-72.22,77.0,88.0,40.0,3.36,VE,1603247450.0
ancud,-41.87,-73.82,45.0,75.0,0.0,9.17,CL,1603247450.0
lipari,38.47,14.95,59.0,67.0,0.0,7.0,IT,1603247451.0
haines junction,60.75,-137.51,27.27,84.0,100.0,3.65,CA,1603247451.0
tura,25.52,90.22,82.33,73.0,0.0,1.57,IN,1603247443.0
ruatoria,,,,,,,,
stoyba,,,,,,,,
alofi,-19.06,-169.92,77.0,78.0,90.0,19.46,NU,1603247452.0
souillac,-20.52,57.52,73.4,83.0,40.0,10.29,MU,1603247452.0
sept-iles,50.2,-66.38,39.0,78.0,20.0,10.29,CA,1603247452.0
dudinka,69.41,86.18,8.6,84.0,38.0,2.24,RU,1603247452.0
altay,47.87,88.12,41.72,53.0,0.0,3.27,CN,1603247254.0
port hardy,50.7,-127.42,46.4,87.0,75.0,2.24,CA,1603247453.0
harnosand,62.63,17.94,45.0,93.0,100.0,5.82,SE,1603247323.0
santarem,-2.44,-54.71,80.6,78.0,20.0,4.7,BR,1603247453.0
howard springs,-12.5,131.05,90.0,59.0,20.0,10.29,AU,1603247454.0
ponta do sol,32.67,-17.1,68.0,64.0,20.0,8.05,PT,1603247454.0
sorong,-0.88,131.25,83.8,72.0,34.0,6.82,ID,1603247454.0
muzhi,65.37,64.67,17.4,97.0,100.0,5.41,RU,1603247454.0
muli,2.92,73.57,82.45,79.0,71.0,13.76,MV,1603247455.0
calvinia,-31.47,19.78,51.82,39.0,0.0,5.82,ZA,1603247455.0
chagda,,,,,,,,
sambava,-14.27,50.17,74.3,81.0,100.0,15.93,MG,1603247456.0
tilichiki,60.47,166.1,40.33,88.0,100.0,17.22,RU,1603247456.0
san carlos de bariloche,-41.15,-71.31,55.0,45.0,58.0,8.05,AR,1603247456.0
morant bay,17.88,-76.41,78.8,83.0,20.0,8.05,JM,1603247456.0
hay river,60.82,-115.8,24.8,73.0,75.0,17.22,CA,1603247457.0
manavadar,21.5,70.13,83.7,72.0,0.0,3.6,IN,1603247457.0
hirara,24.8,125.28,80.6,88.0,75.0,18.34,JP,1603247457.0
babushkin,51.71,105.86,34.93,82.0,98.0,12.95,RU,1603247457.0
cayenne,4.93,-52.33,78.8,88.0,100.0,2.24,GF,1603247387.0
thornbury,52.23,-2.55,57.0,95.0,100.0,3.0,GB,1603247458.0
saint-louis,16.33,-15.0,87.55,18.0,48.0,7.07,SN,1603247458.0
karakol,42.49,78.39,49.48,33.0,0.0,0.36,KG,1603247458.0
temba,-25.38,28.26,64.99,76.0,33.0,5.01,ZA,1603247458.0
rorvik,64.86,11.24,38.98,74.0,99.0,21.56,NO,1603247459.0
phan thiet,10.93,108.1,83.48,73.0,100.0,1.77,VN,1603247459.0
clyde river,70.47,-68.59,26.6,79.0,75.0,10.29,CA,1603247459.0
airai,-8.93,125.41,81.3,33.0,18.0,5.48,TL,1603247459.0
mao,39.89,4.27,68.0,88.0,95.0,16.11,ES,1603247460.0
mergui,,,,,,,,
rock springs,41.59,-109.2,51.8,40.0,1.0,23.04,US,1603247460.0
vallenar,-28.57,-70.76,58.05,48.0,0.0,0.54,CL,1603247460.0
nome,64.5,-165.41,41.0,80.0,40.0,8.05,US,1603247461.0
arbuzynka,47.91,31.32,42.37,71.0,1.0,4.59,UA,1603247461.0
magdagachi,53.45,125.8,35.71,93.0,100.0,4.23,RU,1603247461.0
somerset,40.57,-74.55,64.0,100.0,90.0,0.74,US,1603247461.0
martapura,-3.42,114.85,87.8,62.0,20.0,2.24,ID,1603247462.0
kemijarvi,66.71,27.43,25.02,98.0,86.0,1.25,FI,1603247462.0
kirkuk,35.47,44.39,63.63,32.0,0.0,3.69,IQ,1603247462.0
pisco,-13.7,-76.22,64.0,82.0,3.0,12.75,PE,1603247462.0
vao,-22.67,167.48,73.47,83.0,99.0,13.22,NC,1603247463.0
viedma,-40.81,-63.0,48.58,68.0,74.0,9.82,AR,1603247345.0
meulaboh,4.14,96.13,85.3,63.0,84.0,4.32,ID,1603247463.0
namanga,-2.54,36.79,63.79,79.0,68.0,3.47,KE,1603247463.0
sao gabriel da cachoeira,-0.13,-67.09,77.18,77.0,31.0,0.02,BR,1603247464.0
dingle,11.0,122.67,84.27,80.0,62.0,15.77,PH,1603247464.0
qasigiannguit,68.82,-51.19,33.8,95.0,100.0,9.17,GL,1603247464.0
hobyo,5.35,48.53,79.36,85.0,6.0,13.04,SO,1603247465.0
miastko,54.0,16.98,46.99,89.0,100.0,4.0,PL,1603247465.0
chenghai,23.46,116.77,78.8,57.0,64.0,13.42,CN,1603247465.0
molina de segura,38.05,-1.21,64.0,89.0,100.0,1.01,ES,1603247465.0
